"id","tmdb_id","imdb_id","title","plot","content_rating_id","viewers_rating","release_year","akas","watchmode_id"
269,"502","tt20256448","Force of Nature: The Dry 2"," ",153,NULL,2024,"Force of Nature: The Dry 2 (2024) ",NULL
283,"5487","tt15435876","The Penguin"," ",167,NULL,2024,"The Penguin (2024) ",NULL
161,"1101547",NULL,"Red","An ambitious young woman starts her first day on the job in a sales position and realizes it's not what she bargained for, when everyone starts questioning her ability to fit into her new role.",NULL,"5.6",2023,"",""
162,"446106",NULL,"Red","A savage tale of female power, inspired by the mating rituals of the female Australian Red Back Spider.",NULL,"4.9",2017,"",""
163,"1070136",NULL,"RED","Set in the Cold War era of the 1950's, Relations between the United States and Russia are tense. Senator Joseph McCarthy has many Americans convinced that the Communists have infiltrated society. Paranoia runs rampant, as decent Americans lose their jobs on suspicion alone.  Floyd Woods served as one of the FBl's top Special Agents until he was accused of having Communist sympathies. Floyd lost his job despite lack of evidence to support these claims. He now works as a small time insurance investigator, who's flown into the small town of Sherrill, NY to investigate a life insurance claim, only to find himself distracted by the locals' odd behavior.",NULL,"5.1",2009,"",""
171,"1300962",NULL,"The Beast Within","Ten-year-old Willow follows her parents on one of their secret late-night treks to the heart of an ancient forest. After witnessing her father undergo a terrible transformation, she too becomes ensnared by the dark ancestral secret that they've so desperately tried to conceal.",NULL,"6.0",2024,"",""
172,"22794",NULL,"Cloudy with a Chance of Meatballs","Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",NULL,"6.6",2009,"",""
173,"830884",NULL,"Japanese Idol with Beautiful Big Tits - Mihara Momoka","J-Cup super huge breasts rookie idols [Momoka Mihara] Chan's 1st image will be released from Spice Visual! The gentle and healing [Momoka] Chan is wearing a bold bikini for the first time in her life, and her beautiful white skin and 95 cm J-cup bust are unveiled for the first time in Japan! !! Take a cute and sexy shot of Super Glamorous BODY! !! An intelligent and neat beauty face is irresistible [Momoka] Chan's debut work of the whole body! !!",NULL,"7.0",2014,"",""
174,"14174",NULL,"Lie with Me","Happily unattached, the sexually voracious Leila satisfies her desires with a host of rapidly changing bed partners, unconcerned about the emotional consequences. But that all changes when she meets an artist looking for a deeper commitment.",NULL,"5.2",2006,"",""
175,"581",NULL,"Dances with Wolves","Wounded Civil War soldier John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",NULL,"7.8",1990,"",""
