"id","tmdb_id","imdb_id","title","plot","content_rating_id","viewers_rating","release_year","akas","watchmode_id"
290,"6965","tt29623480","The Wild Robot"," ",174,NULL,2024,"The Wild Robot (2024) ",NULL
105,"1171783",NULL,"One","The first film I ever made consists of the first roll of film I ever shot, entitled One. I made it for the first film class Keith Sanborn taught, in 1978 at the Department of Media Studies at the University of Buffalo, when he was a graduate student working with Hollis Frampton. I was 17. The assignment was to make a film using one roll of Super 8 film, without moving the camera. The result is a kind of poetic/cinematic one-liner. It is in tune with the structuralist spirit of the day - to my surprise.",NULL,"0.0",1978,"",""
106,"12410",NULL,"Good","When John Halder's latest novel is enlisted by powerful political figures in the Nazi party to push their agenda, his career and social standing instantly advance. But after learning of the Reich's horrific plans for the future and the devastating effects they will have on people close to him, John must decide whether or not to take a stand and risk losing everything.",NULL,"7.0",2008,"",""
107,"750597",NULL,"Good","Payton becomes the caretaker of Gregory Devereaux, a wealthy man facing his final months. As they become close, Gregory's past sins force Payton to decide between his dreams and a pregnancy that could squander them all.",NULL,"8.0",2020,"",""
108,"560120",NULL,"Good","Rodolphe Burger is a free musician, complex but accessible, without taboos, he mixes with others without ever losing himself on the road. He is a man who shares everything, including the stage. Including his friends and they are numerous, poets, writers, rockers, painters and philosophers.",NULL,"7.0",2018,"",""
109,"983507",NULL,"Good Boy","Christian – a millionaire heir, meets Sigrid – a young student, on a dating app. They hit it off quickly, but there's only one problem: Christian lives with Frank, a man who dresses up and constantly acts like a dog.",NULL,"7.0",2022,"",""
185,"390159",NULL,"The Invention of Flesh","An unlikely relationship forms between two young patients in a hospital.",NULL,"3.8",2009,"",""
186,"1219685",NULL,"An Ideal Father","Michel, the jovial owner of the only café in a small Normandy town, sees his life turned upside down when his teenage daughter is murdered. The community has his back but soon rumor spreads and Michel is singled out. From the ideal father, he becomes the ideal culprit.",NULL,"6.3",2024,"",""
110,"916192",NULL,"The Tunnel to Summer, the Exit of Goodbyes","Urashima Tunnel – Once you enter that tunnel, you can get whatever you want, but at a price. Kaoru Tohno, who seems to have an elusive personality and traumatic past, and Anzu Hanashiro, who is struggling to reconcile her ideal image and true-to-heart attitude, team up to investigate the Urashima Tunnel and get what they want. This is an unforgettable summer story of nostalgia and sprinting in a remote countryside.",NULL,"8.0",2022,"",""
121,"1059500",NULL,"The Good Old Truck","",NULL,"5.0",2024,"",""
187,"558449",NULL,"Gladiator II","Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",NULL,"6.7",2024,"",""
188,"1100099",NULL,"We Live in Time","An up-and-coming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together, in a decade-spanning, deeply moving romance.",NULL,"7.6",2024,"",""
189,"1143019",NULL,"The Infallibles","When a gang of robbers provokes chaos in Paris and humiliates the police, the Minister of the Interior wants new blood at the helm of the investigation: Alia is from Marseille, fiery-tempered and unmanageable, Hugo is Parisian, valedictorian and meticulous. In short, they have every reason to hate each other. A forced alliance, for better or for worse, or maybe blossoming into something else?",NULL,"6.3",2024,"",""
190,"77338",NULL,"The Intouchables","A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.",NULL,"8.3",2011,"",""
191,"1022789",NULL,"Inside Out 2","Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",NULL,"7.6",2024,"",""
192,"1117006",NULL,"Me contro Te: Il film - Vacanze in Transilvania","",NULL,"7.0",2023,"",""
193,"1175038",NULL,"Stranger in the Woods","Olivia and her friends go on a vacation. After Olivia nearly drowns with a slit wrist in her bathtub after her fiancé's funeral, her friends suspect that she tried to kill herself, but she believes someone attacked her.",NULL,"6.2",2024,"",""
194,"123338",NULL,"Sex and Zen III","New prostitutes Susan, Fanny, and Chinyun are inducted into the Fragrance House brothel where they are trained in the ways of lovemaking by their veteran madam Tall Kau. Eventually all three enter circulation where Susan is crowned the top prize and becomes enamored of budding scholar Chu Chi-Ang. Fanny is jealous beyond all means and though she's bought by famous horse trader Sir Lui, she still plans her revenge on Susan.",NULL,"6.4",1998,"",""
195,"856289",NULL,"Creation of the Gods I: Kingdom of Storms","Based on the most well-known classical fantasy novel of China, Fengshenyanyi, the trilogy is a magnificent eastern high fantasy epic that recreates the prolonged mythical wars between humans, immortals and monsters, which happened more than three thousand years ago.",NULL,"7.1",2023,"",""
196,"284427",NULL,"Who Am I","Benjamin, a young German computer whiz, is invited to join a subversive hacker group that wants to be noticed on the world's stage.",NULL,"7.6",2014,"",""
198,"1052886",NULL,"Do You See What I See","Mawar is lonely a lot of the time, especially after losing both parents. She often vents to Vey, her housemate and closest friend about how she feels. During her birthday, Mawar wishes for a boyfriend to brighten up her days. Her wish is finally granted when she eventually meets Restu. Vey is equally excited whenever Mawar tells stories about him. However, uncanny events have started happening ever since. The whole house experiences a lot of mystical and horrific events until one day Vey finds a clue that these incidents are related to Mawar's new boyfriend, who is not a human.",NULL,"7.1",2024,"",""
217,"391",NULL,"A Fistful of Dollars","The Man With No Name enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers and sheriff John Baxter. When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit.",NULL,"7.8",1964,"",""
111,"625976",NULL,"It Feels So Good","When it rains it pours. Kenji divorced his wife, lost his job and his old squeeze Naoko is getting married back home in the north of Japan, specifically in Akita. He returns there in order to attend her wedding. Naoko surprises him by proposing that they have sex again. The one night stand is the new beginning.",NULL,"7.0",2019,"",""
112,"429",NULL,"The Good, the Bad and the Ugly","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",NULL,"9.0",1966,"",""
113,"721173",NULL,"Good Mother 3","Sun-young and Jun-young are living together. However, they have been unable to pay the rent for several months and listen to the pinzan from the landlord. Eventually, after worrying, he goes to Jun-young's father's house and asks for help. But there, the father's new lover, Ji-young, greets them. Sun-young and Jun-young are unable to borrow money and live in the house for the time being. But after that day. Jun-young's father Dae-woong's eyes keep seeing Sun-young's short mini skirt. Ji-young is interested in Jun-young, who is young and manly…",NULL,"6.0",2019,"",""
114,"1161326",NULL,"Good Girl","After ending a six year relationship, a well-behaved, Jewish, OBGYN decides to turn her brain off and her body on by exploring BDSM; instances of which are popping up in the most unusual places.",NULL,"8.0",2023,"",""
115,"1028318",NULL,"Goodbye Monster","In order to cure Hei Ling, a terminal illness, the Kunlun healer, Bai Ze, was banished after accidentally destroying an island. Seven years later, he returns to the island to seek redemption.",NULL,"6.0",2022,"",""
116,"48691",NULL,"Goodbye Uncle Tom","Two documentary filmmakers go back in time to the pre-Civil War American South, to film the slave trade.",NULL,"7.0",1971,"",""
117,"1230550",NULL,"In Good Hands 2","A newly reunited father and son grapple with new beginnings after tragedy, but can they manage to fill the void left by a beloved wife and mother?",NULL,"8.0",2024,"",""
118,"769",NULL,"GoodFellas","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",NULL,"9.0",1990,"",""
122,"61952",NULL,"A Good Lawyer's Wife","A woman, married and with a child but becoming increasingly distant from her husband who is already cheating on her, reluctantly enters a secret relationship with her neighbor, a teenage boy.",NULL,"6.0",2003,"",""
119,"846993",NULL,"Goodbye, Don Glees!","Teen misfits Roma, Toto, and Drop call themselves the “Don Glees,” an informal name for their backyard adventures. One day, when the trio gets blamed for a nearby forest fire, they set off into the woods to prove their innocence. As disaster strikes their expedition, tensions flare between the friends as they realize that growing up has taken them on wildly different paths in life.",NULL,"7.0",2022,"",""
120,"28276",NULL,"Good Morning","A lighthearted take on director Yasujiro Ozu’s perennial theme of the challenges of inter­generational relationships, Good Morning tells the story of two young boys who stop speaking in protest after their parents refuse to buy a television set. Ozu weaves a wealth of subtle gags through a family portrait as rich as those of his dramatic films, mocking the foibles of the adult world through the eyes of his child protagonists. Shot in stunning color and set in a suburb of Tokyo where housewives gossip about the neighbors’ new washing machine and unemployed husbands look for work as door-to-door salesmen, this charming comedy refashions Ozu’s own silent classic I Was Born, But . . . to gently satirize consumerism in postwar Japan.",NULL,"8.0",1959,"",""
123,"489",NULL,"Good Will Hunting","When professors discover that an aimless janitor is also a math genius, a therapist helps the young man confront the demons that are holding him back.",NULL,"9.0",1997,"",""
124,"284303",NULL,"Goodnight Mommy","In the heat of the summer lays a lonesome house in the countryside where nine year old twin brothers await their mother’s return.  When she comes home, bandaged after cosmetic surgery, nothing is like before and the children start to doubt whether this woman is actually who she says she is.",NULL,"7.0",2014,"",""
125,"15067",NULL,"The Good, the Bad, the Weird","The story of three Korean outlaws in 1930s Manchuria and their dealings with the Japanese army and Chinese and Russian bandits. The Good (a bounty hunter), the Bad (a hitman), and the Weird (a thief) battle the army and the bandits in a race to use a treasure map to uncover the riches of legend.",NULL,"8.0",2008,"",""
164,"1079091",NULL,"It Ends with Us","When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",NULL,"7.2",2024,"",""
165,"1154223",NULL,"Hunting With Tigers","Malik, a young Parisian hustler, discovers that his stepfather Serge, a famous bank robber, has been arrested along with his accomplices. During the trial, Iris, one of the accused's lawyers, Chérif, requests Malik to accept a dangerous heist in exchange for Serge and her client's liberty. Malik must convince and reunite Chérif's former partners to accomplish this high-risk stickup.",NULL,"6.4",2024,"",""
166,"938614",NULL,"Late Night with the Devil","A live broadcast of a late-night talk show in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",NULL,"7.2",2024,"",""
167,"1284004",NULL,"May the 12th Be with You","It's Mother's Day and Marge Simpson joins the moms of Disney+ on a special holiday outing that turns into an epic galactic adventure filled with heroes, villains, and Stewie from Family Guy.",NULL,"5.5",2024,"",""
168,"65754",NULL,"The Girl with the Dragon Tattoo","Disgraced journalist Mikael Blomkvist investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.",NULL,"7.4",2011,"",""
169,"50546",NULL,"Just Go with It","While romancing Palmer, a much younger schoolteacher, plastic surgeon Danny Maccabee enlists his loyal assistant Katherine to pretend to be his soon to be ex-wife, in order to cover up a careless lie. When more lies backfire, Katherine's kids become involved, and everyone heads off for a weekend in Hawaii that will change all their lives.",NULL,"6.7",2011,"",""
170,"657",NULL,"From Russia with Love","Agent 007 is back in the second installment of the James Bond series, this time battling a secret crime organization known as SPECTRE. Russians Rosa Klebb and Kronsteen are out to snatch a decoding device known as the Lektor, using the ravishing Tatiana to lure Bond into helping them. Bond willingly travels to meet Tatiana in Istanbul, where he must rely on his wits to escape with his life in a series of deadly encounters with the enemy.",NULL,"7.1",1963,"",""
179,"26389",NULL,"From Paris with Love","James Reese has a good job as an ambassador's aid in France, but his real passion is a side gig—working in a minor role in the CIA. He would love to be a full-fledged agent and can't believe his luck when he lands an assignment with Charlie Wax. Trigger-happy Charlie soon has James crying for his desk job, but when he learns that the same guys they're trying to catch are after him, James realises that Charlie may be his only hope of survival.",NULL,"6.3",2010,"",""
180,"568160",NULL,"Weathering with You","The summer of his high school freshman year, Hodaka runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if taking its cue from his life. After many days of solitude, he finally finds work as a freelance writer for a mysterious occult magazine. Then, one day, Hodaka meets Hina on a busy street corner. This bright and strong-willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky.",NULL,"8.0",2019,"",""
181,"1352149",NULL,"Hasan Minhaj: Off with His Head","Hasan Minhaj delivers an unapologetic stand-up set about midlife identity struggles, race relations, political divides — and that fact-checking scandal.",NULL,"6.8",2024,"",""
182,"518068",NULL,"Along with the Gods: The Last 49 Days","As the deceased soul Ja-hong and his three afterlife guardians prepare for their remaining trials for reincarnation, the guardians soon come face to face with the truth of their tragic time on Earth 1,000 years earlier.",NULL,"8.1",2018,"",""
183,"10661",NULL,"You Don't Mess with the Zohan","An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist. Zohan's desire runs so deep that he'll do anything -- including faking his own death and going head-to-head with an Arab cab driver -- to make his dreams come true.",NULL,"5.7",2008,"",""
199,"946310",NULL,"Pirates Down the Street II: The Ninjas from Across","The pirates feel right at home in Sandborough, but the atmosphere cools right down when the ninjas come to live in the street. After all, pirates and ninjas are sworn enemies!  While pirate captain Hector Blunderbuss struggles to get rid of his new neighbours, son Billy and ninja daughter Yuka become friends. The pirates challenge the ninjas to the ultimate battle at the village's annual hexathlon. Who will win the match? Ninjas are faster and more agile of course, but pirates are the best cheats in all of the seven seas...",NULL,"6.5",2022,"",""
200,"1362648",NULL,"The Initiated: Written from the Shadows","The formerly revered journalist Frank Molina finds himself in hiding, with his career shattered. However, he continues to write anonymously hidden in the shadows. Frank’s sense of calm is abruptly interrupted when a pair of severed eyes and a blood-soaked note appear at his door. As the number of victims increases, Frank will need to unblock his traumatic past if he seeks to find the killer.",NULL,"6.3",2024,"",""
201,"1288575",NULL,"Bila Esok Ibu Tiada","It tells the story of a family with four children consisting of 1 boy and 3 girls. The four children are very dependent on their parents, especially their mother. Until one day, these four siblings had to accept the fate of their mother's passing.",NULL,"6.5",2024,"",""
202,"492105",NULL,"New Golden Lotus III","3rd episode of a serie of 5. Chinny is stuck in a marriage with a disgusting midget, but is seduced and tricked into becoming the fifth concubine of sexy official Simon Hsin. While Chinny is mistreated by the other concubines, Simon has affairs with anything that movies, poisons Chinny's husband, and imprisons her brother-in-law. It soon becomes apparent that this is Simon's M.O. when he steals another man's wife and kills him as well",NULL,"6.0",1996,"",""
203,"1046183",NULL,"I Am Kathalan","How many servers would you hack for love? What started as a silly attempt to win back his girlfriend turns into a dangerous game of revenge for Vishnu, risking everything he cherishes.",NULL,"6.7",2024,"",""
204,"1287717",NULL,"Do Not Enter","Two working class youtubers ‘in the making’ enter an abandoned mansion to get their basketball back, and get lost inside while pranking each other. They record their ‘quick adventure’ with their phones for their audience, and tweak it with a fake phantom appearance to attract more followers to their YouTube channel. When uploaded the video goes viral, so they start a challenge: if the video reaches a certain number of views, they will enter the house again, at night, alone, totally unprotected. As fans react positively, they will do as promised, not only to discover and unveil the true nature of the place and their inhabitants, but to realize they might not be among the living anymore. Which opens a question - how far would you go to be famous?",NULL,"7.5",2024,"",""
205,"467405",NULL,"Don't Sleep","After moving into a cottage together, two young lovers confront horrors of a forgotten childhood.",NULL,"5.5",2017,"",""
206,"1063877",NULL,"Don't Move","A grieving woman in a secluded forest encounters a killer who injects her with a paralytic drug. As her body shuts down, her fight for survival begins.",NULL,"6.4",2024,"",""
207,"997391",NULL,"RDX: Robert Dony Xavier","Once-menacing, anger fueled, trained martial arts fighters Robert, Dony and Xavier settle down to peaceful lives, after a significant event prompts them. Fate orchestrates their reunion and return from exile to their fighting ways, when their history linger ominously and one of them faces a violent attack.",NULL,"6.8",2023,"",""
208,"1331375",NULL,"Dominique","Dominique, a well-trained assassin, flees from her troubled past in an attempt to begin a new life in South America. However, she soon finds herself in a town plagued with violence and corruption. Facing brutal attacks from the police and mafia, Dominique must decide whether to protect herself or an innocent family that has taken her in.",NULL,"7.4",2024,"",""
210,"428115",NULL,"Two","Bahman (Parviz Parastui) returns from Europe to put his late father's house in order. The maid, Pari (Mahtab Nasirpour), hired by Bahman's cousin, arrives to help him out. Hired against his will, he finds her intrusion annoying. When Pari needs his help, the isolated Bahman must decide whether to get involved. Pari’s life is complicated and her friendship with the young, unruly Samaneh, may be her downfall. Soheila Golestani's directorial debut is a beautifully shot and thought-provoking triumph.",NULL,"4.5",2016,"",""
211,"81774",NULL,"Exploits of a Young Don Juan","In 1914, sixteen year old Roger returned home from boarding school during vacation to find his puberty hit hard in a house filled with beautiful women. These women have previous engagements with other men who are away, and during this time, Roger impregnates them all, including his aunt and sister, then devises plans to cuckold the men.",NULL,"5.7",1986,"",""
212,"446315",NULL,"Do","""Dominique ? Oh yeah, you mean Do. Great guy. Works with the homeless. Energy to burn. Don't know what he does with himself during the day, but . . . who cares, right? Do's a good guy. A good guy.""",NULL,"8.8",2014,"",""
