"movie_id","actor_id"
27,43
27,44
28,45
28,46
29,47
29,48
30,49
30,50
31,51
31,52
32,53
32,54
80,55
80,56
81,57
81,58
82,59
82,60
83,61
83,62
85,63
85,64
86,65
86,66
137,67
137,68
138,69
138,70
139,71
139,72
140,73
140,74
141,75
141,76
142,77
142,78
143,73
143,74
144,79
144,80
263,81
263,82
264,83
264,84
265,85
265,86
266,87
266,88
267,89
267,90
269,91
269,92
273,93
273,94
275,95
275,85
276,96
276,97
277,98
277,99
278,87
278,100
279,101
279,102
280,103
280,104
281,105
281,106
282,107
282,108
283,109
283,110
284,111
284,112
285,113
285,114
286,115
286,116
287,117
287,118
288,119
288,120
289,121
289,122
290,123
290,124
295,86
295,133
296,134
297,135
298,136
299,137
299,61
